County,Year,Suicides,PopCDC
Wirt,2007,0.0,5806.0
Wirt,2008,1.0,5745.0
Wirt,2009,0.0,5703.0
Wirt,2010,2.0,5717.0
Wirt,2011,1.0,5762.0
Wirt,2012,0.0,5847.0
Wirt,2013,1.0,5901.0
Wirt,2014,2.0,5845.0
Wood,2006,15.0,86552.0
Wood,2007,8.0,86489.0
Wood,2008,17.0,86783.0
Wood,2009,10.0,86841.0
Wood,2010,12.0,86956.0
Wood,2011,6.0,87120.0
Wood,2012,10.0,86701.0
Wood,2013,16.0,86569.0
Wood,2014,22.0,86237.0
Wyoming,2006,3.0,24288.0
Wyoming,2007,5.0,24078.0
Wyoming,2008,4.0,23957.0
Wyoming,2009,3.0,23899.0
Wyoming,2010,7.0,23796.0
Wyoming,2011,4.0,23419.0
Wyoming,2012,3.0,23273.0
Wyoming,2013,4.0,23019.0
Wyoming,2014,7.0,22598.0
