County,Year,NumTrans,TotMME,TotDU,Suicides,PopCDC,PerCapIncome,FIPS
Jackson,2012,5637.0,15454002.000000158,1778260.0,3.0,29234.0,32071.0,54035.0
Jackson,2013,5777.0,15782365.770000106,1766100.0,3.0,29178.0,32597.0,54035.0
Jackson,2014,4623.0,18097676.190000013,1868990.0,1.0,29126.0,33806.0,54035.0
Jefferson,2006,4938.0,19922024.821000203,1723900.0,7.0,50003.0,36482.0,54037.0
Jefferson,2007,5611.0,22871876.647500183,2016160.0,12.0,51264.0,37946.0,54037.0
Jefferson,2008,5624.0,25133450.13150016,2095890.0,9.0,52184.0,38761.0,54037.0
Jefferson,2009,5419.0,27770832.72022514,2261900.0,3.0,53054.0,38292.0,54037.0
Jefferson,2010,5725.0,32320002.90135012,2386360.0,4.0,53498.0,39541.0,54037.0
Jefferson,2011,5816.0,33016856.48793759,2457960.0,7.0,54225.0,42107.0,54037.0
Jefferson,2012,5603.0,33150280.26795001,2315470.0,6.0,54504.0,43629.0,54037.0
Jefferson,2013,5595.0,30567149.19022491,2137430.0,6.0,55073.0,43327.0,54037.0
Jefferson,2014,4828.0,31822036.207499914,2153080.0,5.0,55713.0,44198.0,54037.0
Kanawha,2006,22389.0,64845068.66857006,9166915.0,28.0,192954.0,35524.0,54039.0
Kanawha,2007,26435.0,74749491.03270754,10705620.0,36.0,192354.0,36660.0,54039.0
Kanawha,2008,28735.0,90097117.38048352,12333810.0,28.0,192414.0,38494.0,54039.0
Kanawha,2009,29982.0,103842953.59473616,13693735.0,33.0,193150.0,38355.0,54039.0
Kanawha,2010,31006.0,112544142.34383582,14046220.0,38.0,193063.0,39579.0,54039.0
Kanawha,2011,31984.0,119149204.22520004,14739690.0,26.0,192315.0,41111.0,54039.0
Kanawha,2012,34596.0,141631594.32337654,15621740.0,47.0,192179.0,42225.0,54039.0
Kanawha,2013,37690.0,185761669.0070333,17022070.0,43.0,191275.0,41873.0,54039.0
Kanawha,2014,29914.0,170454365.73952731,15967160.0,40.0,190223.0,43398.0,54039.0
Lewis,2006,2506.0,6768113.443999987,912600.0,4.0,16445.0,24849.0,54041.0
Lewis,2007,2699.0,6581297.318999982,953400.0,3.0,16360.0,25633.0,54041.0
Lewis,2008,2980.0,7351578.148499997,1026400.0,2.0,16422.0,27483.0,54041.0
Lewis,2009,2735.0,7483760.722500008,1005230.0,3.0,16422.0,28354.0,54041.0
Lewis,2010,2796.0,6641154.5249999985,971850.0,1.0,16372.0,31272.0,54041.0
Lewis,2011,2600.0,6526248.929999985,985310.0,2.0,16416.0,33670.0,54041.0
Lewis,2012,2714.0,6398563.507499995,954620.0,5.0,16371.0,35430.0,54041.0
Lewis,2013,3021.0,5521477.7625,849600.0,1.0,16452.0,35380.0,54041.0
Lewis,2014,1662.0,4693744.3199999975,690840.0,3.0,16414.0,36791.0,54041.0
Lincoln,2006,2001.0,4356641.789999989,685430.0,2.0,22064.0,21099.0,54043.0
Lincoln,2007,2313.0,4695268.31753749,782270.0,6.0,21953.0,22318.0,54043.0
Lincoln,2008,2700.0,7543433.044012507,1099890.0,4.0,21881.0,24755.0,54043.0
Lincoln,2009,3390.0,12771987.367950045,1576600.0,3.0,21794.0,24282.0,54043.0
Lincoln,2010,3462.0,12545226.067500025,1578850.0,3.0,21720.0,25555.0,54043.0
Lincoln,2011,3356.0,13286141.610000025,1689960.0,4.0,21550.0,27488.0,54043.0
Lincoln,2012,3540.0,15122625.50658756,1566740.0,4.0,21627.0,27849.0,54043.0
Lincoln,2013,3403.0,18338357.08136254,1624160.0,3.0,21559.0,27159.0,54043.0
Lincoln,2014,3157.0,20709534.592949986,1702470.0,1.0,21561.0,27643.0,54043.0
Logan,2006,8365.0,40873963.381674506,6018200.0,7.0,36440.0,26758.0,54045.0
Logan,2007,9132.0,46257182.95576169,6436220.0,10.0,36443.0,27685.0,54045.0
Logan,2008,10271.0,49290395.10207407,6841750.0,4.0,36548.0,30641.0,54045.0
Logan,2009,10042.0,49775213.84861168,6884720.0,6.0,36645.0,30775.0,54045.0
Logan,2010,9219.0,46873115.8665745,6260230.0,3.0,36743.0,31658.0,54045.0
Logan,2011,9573.0,48906715.30544945,6768760.0,4.0,36457.0,34000.0,54045.0
Logan,2012,8757.0,46308136.40294967,6376920.0,4.0,36168.0,33831.0,54045.0
Logan,2013,9285.0,48993719.9140868,5896220.0,8.0,35987.0,32837.0,54045.0
Logan,2014,6884.0,46797993.63408726,5372480.0,4.0,35348.0,32521.0,54045.0
Marion,2006,6081.0,15296343.24190019,2187130.0,7.0,56284.0,29272.0,54049.0
Marion,2007,7506.0,18421748.9151752,2760940.0,6.0,56445.0,30236.0,54049.0
Marion,2008,8803.0,22752376.191225164,3326760.0,9.0,56141.0,32170.0,54049.0
Marion,2009,9284.0,25648765.845000155,3630070.0,6.0,56426.0,33103.0,54049.0
Marion,2010,9131.0,23545349.29350005,3285798.0,6.0,56418.0,34715.0,54049.0
Marion,2011,9712.0,24536617.181362666,3498790.0,12.0,56586.0,36082.0,54049.0
Marion,2012,9395.0,25063230.48022511,3423860.0,12.0,56678.0,37699.0,54049.0
Marion,2013,8839.0,25724223.401362617,3295320.0,7.0,56868.0,37616.0,54049.0
Marion,2014,6362.0,22948697.33726248,2876110.0,7.0,56803.0,38248.0,54049.0
Marshall,2006,4680.0,15653409.753000222,1876800.0,4.0,33814.0,25369.0,54051.0
Marshall,2007,5334.0,18954765.936000247,2257730.0,5.0,33583.0,26161.0,54051.0
Marshall,2008,5559.0,20804658.082087673,2521720.0,2.0,33248.0,28295.0,54051.0
Marshall,2009,5359.0,24740785.70295008,2725100.0,5.0,33116.0,28286.0,54051.0
Marshall,2010,5653.0,27826638.36749997,2814360.0,7.0,33107.0,28135.0,54051.0
Marshall,2011,5638.0,27470633.44500003,2780840.0,4.0,32800.0,29544.0,54051.0
Marshall,2012,5768.0,28206917.99999988,2716340.0,4.0,32674.0,30700.0,54051.0
Marshall,2013,5743.0,27027946.5299999,2572110.0,7.0,32459.0,32902.0,54051.0
Marshall,2014,4075.0,27107726.760000017,2482390.0,7.0,32416.0,35474.0,54051.0
Mason,2006,3273.0,14286584.267500116,1909230.0,3.0,26648.0,24317.0,54053.0
Mason,2007,3575.0,14880780.427500138,1991430.0,3.0,26738.0,25004.0,54053.0
Mason,2008,3716.0,16319119.017037673,2161830.0,5.0,27097.0,26607.0,54053.0
Mason,2009,3775.0,18479176.58250015,2361440.0,2.0,27309.0,27077.0,54053.0
Mason,2010,4074.0,19243751.842500176,2529570.0,2.0,27324.0,27195.0,54053.0
Mason,2011,4042.0,18484957.233862687,2452150.0,6.0,27298.0,27926.0,54053.0
Mason,2012,4012.0,15770119.192500105,2096570.0,5.0,27179.0,28878.0,54053.0
Mason,2013,3870.0,12152322.817500055,1681470.0,3.0,27126.0,28306.0,54053.0
Mason,2014,2623.0,12678888.217499988,1696560.0,3.0,27016.0,28756.0,54053.0
McDowell,2006,3100.0,19359693.02500014,2232700.0,4.0,23199.0,19511.0,54047.0
McDowell,2007,3474.0,22839033.28950012,2362640.0,6.0,22746.0,20333.0,54047.0
McDowell,2008,3614.0,24085684.228500053,2149730.0,5.0,22494.0,22368.0,54047.0
McDowell,2009,3901.0,21363689.587500114,2050430.0,0.0,22276.0,23339.0,54047.0
McDowell,2010,4248.0,24268249.59000012,2064070.0,7.0,22113.0,24902.0,54047.0
