County,Year,NumTrans,TotMME,TotDU
Mason,2009,3775.0,18479176.58250015,2361440.0
Mason,2010,4074.0,19243751.842500176,2529570.0
Mason,2011,4042.0,18484957.233862687,2452150.0
Mason,2012,4012.0,15770119.192500103,2096570.0
Mason,2013,3870.0,12152322.817500055,1681470.0
Mason,2014,2623.0,12678888.217499988,1696560.0
Mcdowell,2006,3100.0,19359693.02500014,2232700.0
Mcdowell,2007,3474.0,22839033.289500117,2362640.0
Mcdowell,2008,3614.0,24085684.228500057,2149730.0
Mcdowell,2009,3901.0,21363689.587500114,2050430.0
Mcdowell,2010,4248.0,24268249.59000012,2064070.0
Mcdowell,2011,4659.0,20923417.2675001,2242610.0
Mcdowell,2012,4314.0,19358199.06000007,2121720.0
Mcdowell,2013,4171.0,20487850.530000106,2033810.0
Mcdowell,2014,2682.0,18649448.812499985,1769300.0
Mercer,2006,9338.0,27639658.88308779,3755660.0
Mercer,2007,9536.0,30792800.03275028,4153310.0
Mercer,2008,9721.0,32970202.91286277,4319100.0
Mercer,2009,9406.0,32773324.432500314,4449930.0
Mercer,2010,9402.0,33462934.620000284,4440660.0
Mercer,2011,10064.0,37202675.33999994,5055230.0
Mercer,2012,9976.0,42284102.97408733,5184400.0
Mercer,2013,9866.0,44607562.00181217,5186670.0
Mercer,2014,7454.0,42924464.76022494,4808980.0
Mineral,2006,2756.0,6372299.570362487,849670.0
Mineral,2007,3226.0,7848704.047500006,1028400.0
Mineral,2008,3804.0,9627304.721000068,1210110.0
Mineral,2009,3737.0,10668814.991362572,1264440.0
Mineral,2010,3929.0,11189134.89750011,1278820.0
Mineral,2011,4266.0,11688497.055000106,1314980.0
Mineral,2012,3863.0,10915319.865000084,1247110.0
Mineral,2013,3898.0,11315264.167500101,1270940.0
Mineral,2014,3193.0,12103424.100000007,1282770.0
Mingo,2006,4192.0,29595207.120000005,4691980.0
Mingo,2007,5389.0,44548906.60499963,7511830.0
Mingo,2008,7496.0,58189238.8539996,9795100.0
Mingo,2009,7227.0,47202645.76886223,7464630.0
Mingo,2010,4466.0,23487098.400000047,3162950.0
Mingo,2011,4243.0,21847008.76545006,2863950.0
Mingo,2012,4141.0,22509504.277500015,2779190.0
Mingo,2013,4189.0,23812089.405224975,2562840.0
Mingo,2014,3784.0,25053301.25250001,2414610.0
Monongalia,2006,9032.0,21096093.40006267,2751620.0
Monongalia,2007,10532.0,25090792.093950067,3319650.0
Monongalia,2008,10378.0,27774618.36721254,3573330.0
Monongalia,2009,10786.0,32518173.08062486,3920150.0
Monongalia,2010,11375.0,33893429.47691249,3958427.0
Monongalia,2011,11711.0,35543353.02108716,4160910.0
Monongalia,2012,12539.0,39656787.35902451,4275790.0
Monongalia,2013,12780.0,35445627.58743697,3931940.0
Monongalia,2014,10860.0,36828366.73181233,3879290.0
Monroe,2006,890.0,2900459.197499996,385440.0
Monroe,2007,1054.0,3673757.8949999954,455940.0
Monroe,2008,1068.0,3666101.024999995,458500.0
Monroe,2009,1069.0,3144016.364999995,405280.0
Monroe,2010,1031.0,3583755.8099999926,378170.0
Monroe,2011,1122.0,3810726.1049999907,390310.0
Monroe,2012,1201.0,3510949.4174999883,394730.0
Monroe,2013,1190.0,4553747.362499984,408900.0
Monroe,2014,1128.0,5728998.659999998,447820.0
Morgan,2006,1008.0,5912461.912499991,594800.0
Morgan,2007,1132.0,6449796.854999991,667700.0
Morgan,2008,1226.0,7393574.071500001,752600.0
Morgan,2009,1149.0,7838265.791362496,775900.0
Morgan,2010,1198.0,7776233.159999997,732770.0
Morgan,2011,1328.0,8294425.338862501,775670.0
Morgan,2012,1342.0,9140702.647500003,796870.0
Morgan,2013,1114.0,7195345.597500003,605990.0
Morgan,2014,972.0,6203189.647500002,561770.0
Nicholas,2006,4041.0,13257835.911000093,1939200.0
Nicholas,2007,4591.0,15166394.847000126,2125050.0
Nicholas,2008,4759.0,18970073.775000114,2408050.0
Nicholas,2009,5114.0,22608591.60772504,2661180.0
Nicholas,2010,6180.0,24827985.112500027,2844260.0
Nicholas,2011,6322.0,27786551.17136256,3145580.0
Nicholas,2012,6449.0,29721464.872949973,3041380.0
Nicholas,2013,6419.0,27333595.117949978,2828960.0
Nicholas,2014,4633.0,27230788.519537486,2704970.0
Ohio,2006,4147.0,14091592.509500207,1637700.0
Ohio,2007,4944.0,16682599.157587748,1928100.0
Ohio,2008,5636.0,18012274.95750028,2078020.0
Ohio,2009,5807.0,19800994.16636266,2227100.0
Ohio,2010,5481.0,20034827.876587633,2290650.0
Ohio,2011,5966.0,21657993.123862572,2556520.0
Ohio,2012,6435.0,23620739.257950023,2613990.0
Ohio,2013,6744.0,24136576.162499893,2595440.0
Ohio,2014,6019.0,24066589.62772496,2505990.0
Pendleton,2006,563.0,1484590.9875000024,163200.0
Pendleton,2007,561.0,1390308.0202250003,172300.0
Pendleton,2008,721.0,1561669.612500002,202500.0
Pendleton,2009,804.0,1848988.7624999979,221900.0
Pendleton,2010,810.0,1933881.7799999986,233910.0
Pendleton,2011,827.0,1985945.4825000006,253840.0
Pendleton,2012,804.0,1941559.4175000004,242060.0
Pendleton,2013,761.0,2130867.907499998,245440.0
Pendleton,2014,550.0,2158053.2475,253920.0
Pleasants,2006,837.0,1761878.9624999978,313200.0
Pleasants,2007,898.0,1782413.119500001,348100.0
Pleasants,2008,1044.0,2048515.6095000012,399300.0
Pleasants,2009,1064.0,2316700.1999999997,447600.0
Pleasants,2010,1164.0,2650434.8174999966,478860.0
Pleasants,2011,1160.0,2641825.649999996,508700.0
Pleasants,2012,1051.0,2574067.0349999974,474620.0
Pleasants,2013,1064.0,2744709.877500002,465570.0
Pleasants,2014,1014.0,3176364.6374999993,481050.0
Pocahontas,2006,990.0,6821565.879000002,572100.0
Pocahontas,2007,926.0,6025704.723862494,487490.0
Pocahontas,2008,823.0,4661367.157725,417700.0
Pocahontas,2009,814.0,5016517.995225002,452800.0
Pocahontas,2010,712.0,2901800.79,300030.0
Pocahontas,2011,848.0,2873975.7599999984,309370.0
Pocahontas,2012,930.0,3215640.4124999978,312200.0
Pocahontas,2013,1047.0,3891736.41749999,323670.0
Pocahontas,2014,860.0,3367561.4024999994,271730.0
Preston,2006,1905.0,4807596.765499998,751000.0
Preston,2007,2126.0,5103055.515499988,782300.0
Preston,2008,2366.0,5259713.960249983,780400.0
